%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1746525947420734831,230,1746525947420370578,end_effector_link,0.2504885247396325,-0.0019464633359074343,-0.07427333323877434,0.0022670967003470682,-0.9735616683750657,-0.0234136717295825,0.22720989881483628
1746525947520920825,231,1746525947520424842,end_effector_link,0.25085102052218006,-0.0019268789659213105,-0.07520711174397136,0.0022194382432719796,-0.9732133967651895,-0.023366729860208945,0.2287023270242037
1746525947621051403,232,1746525947620512723,end_effector_link,0.25066094679678,-0.0019424629796636497,-0.07497311831125424,0.002197752784398337,-0.9733880981634458,-0.023384454158796142,0.22795602106578194
1746525947722693920,233,1746525947720858812,end_effector_link,0.25085102052218006,-0.0019268789659213105,-0.07520711174397136,0.0022194382432719796,-0.9732133967651895,-0.023366729860208945,0.2287023270242037
1746525947820885104,234,1746525947820452213,end_effector_link,0.25065766882932355,-0.0016827031948090454,-0.07495835278766709,0.0022946504967307248,-0.9734095564129711,-0.022624076723975248,0.22794017025392307
1746525947920973660,235,1746525947920585632,end_effector_link,0.2506599551478051,-0.0012981980946808588,-0.07495835278766703,0.003041244018691198,-0.9734075101270888,-0.022449242518951314,0.2279574556212738
1746525948021321308,236,1746525948020648479,end_effector_link,0.25079136127363516,-0.0006489890501195099,-0.07532827090523524,0.0038618393550582213,-0.9732512260170918,-0.021489519946992438,0.2287036024759357
1746525948122438027,237,1746525948121014356,end_effector_link,0.2511855971882175,1.0780871782731618e-05,-0.07646841232074875,0.004638391705499059,-0.9727414583202825,-0.020478715722980757,0.23093973843765833
1746525948220736617,238,1746525948220413208,end_effector_link,0.2511855971882175,1.0780871782731618e-05,-0.07646841232074875,0.004638391705499059,-0.9727414583202825,-0.020478715722980757,0.23093973843765833
1746525948320794371,239,1746525948320457696,end_effector_link,0.25118525229792643,0.000414485993578909,-0.07646763315989993,0.0061305529793764715,-0.9727331986381724,-0.02047871572298075,0.23093973843765836
1746525948420982734,240,1746525948420601844,end_effector_link,0.25118432095254406,0.0007997988629588715,-0.07646763315989988,0.006876628426090931,-0.9727282104443012,-0.020301581083689426,0.23095537749275083
